name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2021-04-23T00:00:00,9.7,7.6,-0.9,47.47,0,,,,,,14.9,58,1022.2,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T01:00:00,8.9,6.4,-0.4,52.23,0,,,,,,15.9,49,1022.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T02:00:00,8.3,5.9,0.8,59.11,0,,,,,,14.7,51,1023,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T03:00:00,7.8,5.1,-1.6,51.71,0,,,,,,15.6,54,1023,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T04:00:00,6.8,4.2,-2.4,51.65,0,,,,,,14,48,1023.6,0,,,,,,Clear,clear-night,"06606099999,06610099999,06605099999,06608099999,06604099999,06612099999"
Gampelen,2021-04-23T05:00:00,6.7,4.1,-3.3,48.64,0,,,,,,13.6,58,1023.6,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T06:00:00,6.2,3.7,-2.2,55.11,0,,,,,,12.3,65,1023.9,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T07:00:00,5.5,2.5,-2.1,58.01,0,,,,,,14,68,1024.8,0,,16,0.1,0,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T08:00:00,6.9,4.1,-1.3,56.02,0,,,,,,15.4,69,1025.2,0,60,150,0.5,2,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T09:00:00,8.2,5.8,-1.9,48.98,0,,,,,,14.3,74,1025.5,0,,353,1.3,4,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T10:00:00,9.5,7.2,-1.4,46.63,0,,,,,,15.6,78,1025.1,0,,533,1.9,5,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T11:00:00,11.4,11.4,-0.5,43.88,0,,,,,,18.1,82,1024.5,0,,702,2.5,7,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T12:00:00,13,13,-0.5,39.58,0,,,,,,20.6,72,1023.9,0,,829,3,8,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T13:00:00,14.2,14.2,-1.6,33.43,0,,,,,,20,73,1023.3,0,,897,3.2,9,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T14:00:00,15.7,15.7,-5.3,23.2,0,,,,,,21.5,71,1022.5,0,60,910,3.3,9,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T15:00:00,16.2,16.2,-4.5,23.69,0,,,,,,20.3,73,1022.2,0,,866,3.1,9,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T16:00:00,16.6,16.6,-3.6,24.91,0,,,,,,16.3,75,1021.7,0,,767,2.8,8,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T17:00:00,16.7,16.7,-4,23.98,0,,,,,,16.2,72,1021.2,0,,621,2.2,6,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T18:00:00,16.4,16.4,-5,22.63,0,,,,,,17.5,71,1021,0,,436,1.6,4,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T19:00:00,15.2,15.2,-4.9,24.69,0,,,,,,17.1,68,1021,0,,91,0.3,1,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T20:00:00,13.7,13.7,-5.8,25.37,0,,,,0,,11,59,1021.5,0,75,23,0.1,0,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T21:00:00,12.7,12.7,-6.4,25.9,0,,,,,,15,37,1022.2,0,,11,0,0,,Clear,clear-night,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T22:00:00,11.4,11.4,-3.2,35.97,0,,,,,,13.5,42,1023,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-23T23:00:00,11.1,11.1,-4.4,33.37,0,,,,,,14.7,44,1023.2,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T00:00:00,10.6,10.6,-6.2,30.2,0,,,,,,15.4,49,1023.1,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T01:00:00,10.2,10.2,-5.4,32.91,0,,,,,,16.2,45,1023.2,0,,,,,,Clear,clear-night,"06606099999,06610099999,06605099999,06608099999,06604099999,06612099999"
Gampelen,2021-04-24T02:00:00,9.2,7.1,-3.6,40.42,0,,,,,,13.2,58,1023.4,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T03:00:00,8.6,7,-3.1,43.58,0,,,,,,9.8,26,1023.3,0,,,,,,Clear,clear-night,"06606099999,06610099999,06605099999,06608099999,06604099999,06612099999"
Gampelen,2021-04-24T04:00:00,7.5,5.8,-2.6,48.54,0,,,,,,9.3,36,1023.4,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T05:00:00,5,5,-1.8,61.37,0,,,,,,2.8,13,1024.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T06:00:00,4.4,4.4,-0.5,70.49,0,,,,,,3.6,343,1024.7,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T07:00:00,3.6,3.6,-0.7,73.75,0,,,,,,3.8,2,1025.2,0,,16,0.1,0,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T08:00:00,6.1,6.1,0.7,68.4,0,,,,,,3.9,91,1025.1,0,75,130,0.5,1,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T09:00:00,8.7,8.7,1.1,58.82,0,,,,,,3.7,260,1024.6,0,,362,1.3,4,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T10:00:00,10.5,10.5,-1.1,44.44,0,,,,,,6.9,44,1024,0,,538,1.9,5,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T11:00:00,12.4,12.4,-0.1,42.39,0,,,,,,7.9,31,1023.3,0,,696,2.5,7,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T12:00:00,13.7,13.7,0.8,41.27,0,,,,,,5.9,98,1022.2,0,,815,2.9,8,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-04-24T13:00:00,15.8,15.8,1,36.73,0,,,,,,5.6,187,1020.9,0,,884,3.2,9,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
