name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gampelen,2021-12-01T00:00:00,2.1,-3.1,1,92.45,0.02,,,,,41.6,24.2,243,1020.9,0,,,,,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T01:00:00,2.3,-2.2,1.1,91.58,0.02,,,,,47.5,19.5,247,1020,0,,,,,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T02:00:00,2.7,-1.3,1.2,89.7,0,,,,,35.3,16.3,242,1018.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T03:00:00,2.4,-1.8,1.5,93.26,0.02,,,,,31.3,17.8,240,1017.7,0,,,,,,Rain,rain,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T04:00:00,2,-1.8,0.9,92.69,0,,,,,37.3,14,263,1016.5,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T05:00:00,2.1,-2.4,1,92.57,0,,,,,33.7,18.6,241,1015.3,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T06:00:00,2.6,-2.4,1,89.67,0,,,,,37.7,22.9,237,1014.4,0,,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T07:00:00,2.3,-2.7,0.6,88.22,0,,,,1,46.6,23.4,232,1013.8,1.9,70,,,,,Clear,clear-night,"06606099999,06605099999,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T08:00:00,2.8,-1.7,0.9,87.23,0,,,,,40.6,19.9,252,1013.3,0,,5,0,0,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T09:00:00,3.7,-1.1,1.4,85.01,0,,,,,45.5,24.8,230,1011.8,0,,98,0.4,1,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
Gampelen,2021-12-01T10:00:00,4.1,-0.7,1.6,83.4,0,,,,,51,26.4,233,1011,0,,348,1.3,3,,Clear,clear-day,"06606099999,06605099999,E1213,06608099999,06604099999,06612099999,06636099999"
